Time 0	sarc.Sarc Const	Mark Time	Marks	
1.6921	1.7260	406.6137	Pacer[TTL]	
1.6961	1.7260	408.5307	Pacer[TTL]	
1.7001	1.7260	408.5317	Pacer[TTL]	
1.7041	1.7260	410.4487	Pacer[TTL]	
1.7081	1.7270	410.4497	Pacer[TTL]	
1.7121	1.7260	412.3667	Pacer[TTL]	
1.7161	1.7270	412.3677	Pacer[TTL]	
1.7201	1.7270	414.2837	Pacer[TTL]	
1.7241	1.7270	414.2847	Pacer[TTL]	
1.7281	1.7260	416.2017	Pacer[TTL]	
1.7321	1.7260	416.2027	Pacer[TTL]	
1.7361	1.7260	418.1197	Pacer[TTL]	
1.7401	1.7260	418.1207	Pacer[TTL]	
1.7441	1.7260	420.0377	Pacer[TTL]	
1.7481	1.7260	420.0387	Pacer[TTL]	
1.7521	1.7270	421.9547	Pacer[TTL]	
1.7561	1.7260	421.9557	Pacer[TTL]	
1.7601	1.7260	423.8727	Pacer[TTL]	
1.7641	1.7270	423.8737	Pacer[TTL]	
1.7681	1.7270	425.7907	Pacer[TTL]	
1.7721	1.7260	425.7917	Pacer[TTL]	
1.7761	1.7270	427.7087	Pacer[TTL]	
1.7801	1.7270	427.7097	Pacer[TTL]	
1.7841	1.7270	429.6257	Pacer[TTL]	
1.7881	1.7260	429.6277	Pacer[TTL]	
1.7921	1.7260	431.5437	Pacer[TTL]	
1.7961	1.7270	431.5447	Pacer[TTL]	
1.8001	1.7260	433.4617	Pacer[TTL]	
1.8041	1.7270	433.4627	Pacer[TTL]	
1.8081	1.7270	435.3797	Pacer[TTL]	
1.8121	1.7270	435.3807	Pacer[TTL]	
1.8161	1.7270	437.2977	Pacer[TTL]	
1.8201	1.7270	437.2987	Pacer[TTL]	
1.8241	1.7270	439.2147	Pacer[TTL]	
1.8281	1.7270	439.2157	Pacer[TTL]	
1.8321	1.7270	441.1327	Pacer[TTL]	
1.8361	1.7260	441.1337	Pacer[TTL]	
1.8401	1.7260	443.0507	Pacer[TTL]	
1.8441	1.7270	443.0517	Pacer[TTL]	
1.8481	1.7260	444.9687	Pacer[TTL]	
1.8521	1.7260	444.9697	Pacer[TTL]	
1.8561	1.7260	446.8857	Pacer[TTL]	
1.8601	1.7270	446.8867	Pacer[TTL]	
1.8641	1.7260	448.8037	Pacer[TTL]	
1.8681	1.7270	448.8047	Pacer[TTL]	
1.8721	1.7260	450.7217	Pacer[TTL]	
1.8761	1.7270	450.7227	Pacer[TTL]	
1.8801	1.7260	452.6397	Pacer[TTL]	
1.8841	1.7260	452.6407	Pacer[TTL]	
1.8881	1.7270	454.5567	Pacer[TTL]	
1.8921	1.7270	454.5587	Pacer[TTL]	
1.8961	1.7260	456.4747	Pacer[TTL]	
1.9001	1.7270	456.4757	Pacer[TTL]	
1.9041	1.7270	458.3927	Pacer[TTL]	
1.9081	1.7270	458.3937	Pacer[TTL]	
1.9121	1.7270	460.3107	Pacer[TTL]	
1.9161	1.7260	460.3117	Pacer[TTL]	
1.9201	1.7270	462.2287	Pacer[TTL]	
1.9241	1.7270	462.2297	Pacer[TTL]	
1.9281	1.7270	464.1457	Pacer[TTL]	
1.9321	1.7270	464.1467	Pacer[TTL]	
1.9361	1.7270	466.0637	Pacer[TTL]	
1.9401	1.7270	466.0647	Pacer[TTL]	
1.9441	1.7260	467.9817	Pacer[TTL]	
1.9481	1.7270	467.9827	Pacer[TTL]	
1.9521	1.7270	469.8997	Pacer[TTL]	
1.9561	1.7270	469.9007	Pacer[TTL]	
1.9601	1.7270	471.8167	Pacer[TTL]	
1.9641	1.7270	471.8177	Pacer[TTL]	
1.9681	1.7240	473.7347	Pacer[TTL]	
1.9721	1.7110	473.7357	Pacer[TTL]	
1.9761	1.6950	475.6527	Pacer[TTL]	
1.9801	1.6820	475.6537	Pacer[TTL]	
1.9841	1.6720	477.5707	Pacer[TTL]	
1.9881	1.6630	477.5717	Pacer[TTL]	
1.9921	1.6540	479.4877	Pacer[TTL]	
1.9961	1.6490	479.4897	Pacer[TTL]	
2.0001	1.6440	481.4057	Pacer[TTL]	
2.0041	1.6400	481.4067	Pacer[TTL]	
2.0081	1.6370	483.3237	Pacer[TTL]	
2.0121	1.6360	483.3247	Pacer[TTL]	
2.0161	1.6370	485.2417	Pacer[TTL]	
2.0201	1.6380	485.2427	Pacer[TTL]	
2.0241	1.6410	487.1597	Pacer[TTL]	
2.0281	1.6450	487.1607	Pacer[TTL]	
2.0321	1.6520	489.0767	Pacer[TTL]	
2.0361	1.6570	489.0777	Pacer[TTL]	
2.0401	1.6670	490.9947	Pacer[TTL]	
2.0441	1.6740	490.9957	Pacer[TTL]	
2.0481	1.6810	492.9127	Pacer[TTL]	
2.0521	1.6890	492.9137	Pacer[TTL]	
2.0561	1.6940	494.8307	Pacer[TTL]	
2.0601	1.6990	494.8317	Pacer[TTL]	
2.0642	1.7030	496.7477	Pacer[TTL]	
2.0681	1.7060	496.7487	Pacer[TTL]	
2.0721	1.7080	498.6657	Pacer[TTL]	
2.0761	1.7080	498.6667	Pacer[TTL]	
2.0801	1.7090	500.5837	Pacer[TTL]	
2.0841	1.7100	500.5847	Pacer[TTL]	
2.0881	1.7100	502.5017	Pacer[TTL]	
2.0921	1.7110	502.5027	Pacer[TTL]	
2.0961	1.7110	504.4187	Pacer[TTL]	
2.1001	1.7120	504.4207	Pacer[TTL]	
2.1041	1.7120	506.3367	Pacer[TTL]	
2.1081	1.7120	506.3377	Pacer[TTL]	
2.1121	1.7130	508.2547	Pacer[TTL]	
2.1161	1.7130	508.2557	Pacer[TTL]	
2.1201	1.7140	510.1727	Pacer[TTL]	
2.1241	1.7140	510.1737	Pacer[TTL]	
2.1281	1.7150	512.0907	Pacer[TTL]	
